Цена за квадрат,Этаж,Общая,Метро,Цена,Этажность здания,Широта дома,Долгота дома,Широта метро,Долгота метро,До центра,До метро,Азимут
429854.0,10,178.2,Октябрьское поле,76600000.0,10,55.7779885,37.45671,55.793556,37.49341,10.665931541388558,2.881928293286756,353.294
406584.0,1,62.8,Нагатинская,25533501.0,26,55.681919,37.6377099,55.682852,37.622702,8.048716695229373,0.9497470553152849,106.352
546504.0,13,66.7,Лужники,36451816.0,41,55.7321368,37.5387203,55.720935,37.560056,5.694991269763314,1.8310078302740271,11.667
324455.0,4,41.3,Измайлово,13400000.0,28,55.7925328,37.7330781,55.7951194,37.7753283,8.260815854512748,2.6657251921520007,195.391
342306.0,9,83.5,Минская,28582551.0,52,55.7060767,37.5138911,55.724791,37.496755,8.56156289453159,2.3454829014947673,19.354
477408.0,11,54.9,Электрозаводская,26209699.0,11,55.7796327,37.697012,55.7811743,37.7050092,5.581152125428288,0.530335719481817,195.186
777778.0,2,18.0,Выставочная,14000000.0,5,55.75638799999999,37.548756,55.750223,37.541479,4.5485661734918414,0.8245687503550423,358.247
609195.0,11,17.4,Шелепиха,10600000.0,33,55.7603592,37.5190412,55.7566971,37.525776,6.447434395138087,0.5873829533022215,356.993
290438.0,11,61.7,Измайлово,17920000.0,24,55.7925328,37.7330781,55.7951194,37.7753283,8.260815854512748,2.6657251921520007,195.391
646226.0,11,71.8,Тестовская,46399000.0,78,55.7507033,37.5358404,55.7475464,37.5359871,5.3589235087033975,0.3516013024092006,1.54
408787.0,15,123.4,Алексеевская,50444313.0,15,55.808014,37.6362688,55.8077942,37.6387375,6.133867121054836,0.1567147108344568,250.545
422600.0,2,37.61,Воронцовская,15893986.0,25,55.6624456,37.536584,55.658941,37.539119,11.452843046582226,0.4215466495501695,40.516
497249.0,5,37.7,Мичуринский проспект,18746293.0,20,55.6885024,37.4715488,55.689425,37.483,11.86435440981243,0.7274878487168532,19.028
229057.0,10,64.7,Щелковская,14820000.0,12,55.8218195,37.7949291,55.8106,37.7980196,13.29335817864593,1.264096819796267,197.264
215088.0,4,85.5,Шоссе Энтузиастов,18390000.0,6,55.7626298,37.77810729999999,55.757654,37.749847,9.912717064161846,1.8586264708964433,182.609
318386.0,2,44.6,Измайлово,14200000.0,25,55.7762644,37.7369602,55.7951194,37.7753283,7.702263233039946,3.1939315728684425,188.804
372320.0,6,66.8,Стрешнево,24870976.0,21,55.80842,37.480699,55.813728,37.48699,10.714035724758222,0.7105165802934744,342.807
373300.0,26,83.8,Шелепиха,31282540.0,41,55.7610475,37.5130354,55.7566971,37.525776,6.830886968820943,0.9350874884081639,356.871
241972.0,3,71.0,Бульвар Рокоссовского,17180000.0,17,55.8256678,37.7631599,55.81474799999999,37.734172,11.995218687674486,2.186259119515916,201.886
599200.0,11,81.05,Панфиловская,48565160.0,14,55.8060316,37.5025737,55.7990141,37.4989172,9.451531303773699,0.8142688596479961,340.68
377005.0,8,37.4,Бульвар Рокоссовского,14100000.0,31,55.811991,37.7388,55.81474799999999,37.734172,9.84228422078325,0.4223835277098373,201.445
422717.0,5,44.9,Семеновская,18980000.0,12,55.7949836,37.7098726,55.782747,37.7226933,7.233191069684897,1.5820830408995008,200.256
387000.0,3,38.78,Фонвизинская,15007860.0,31,55.8300509,37.5928875,55.823139,37.587435,8.693581601438405,0.8420194056904268,294.945
313063.0,14,44.4,Аминьевская,13900000.0,19,55.68727740000001,37.4617181,55.697309,37.464733,12.439834030302492,1.1328592357380598,18.246
423471.0,11,68.8,Тульская,29134804.0,20,55.706481,37.6330709,55.708907,37.6246697,5.299787141512201,0.5931860995912128,107.869
325562.0,9,48.9,Ломоносовский проспект,15920000.0,10,55.7039295,37.5088273,55.7068942,37.5132761,8.959578368857128,0.4326355744889888,19.319
241076.0,13,76.2,Солнцево,18370000.0,17,55.6410221,37.3988763,55.6506221,37.392362,18.76750742479333,1.1448152586861566,21.864
598086.0,5,41.8,Белорусская,25000000.0,19,55.7795813,37.5812464,55.776805,37.58323499999999,3.8219063389005234,0.33334401854988915,332.647
392327.0,14,40.1,Нагатинская,15732301.0,26,55.6840192,37.647196,55.682852,37.622702,7.918942033868345,1.5461875183332656,115.381
393500.0,2,69.8,Нагатинская,27466300.0,29,55.67529,37.6549621,55.682852,37.622702,8.975266503617327,2.197152474956395,118.664
341866.0,23,46.1,Говорово,15760000.0,25,55.6623904,37.419645,55.66073799999999,37.417567,16.228897461270726,0.22571998350882055,19.731
442623.0,3,42.7,Фили,18900000.0,41,55.7446359,37.5081999,55.74613,37.514819,7.155249171829168,0.44774357598325704,3.599
241501.0,3,70.6,Бескудниково,17050000.0,19,55.881483,37.57373,55.88205689999999,37.5666446,14.544314135095453,0.44800657275652855,295.063
388273.0,16,48.4,Покровское-Стрешнево,18792427.0,21,55.80842,37.480699,55.8265766,37.45232439999999,10.714035724758222,2.6926500798193076,342.807
460000.0,9,142.5,Спартак,65550000.0,22,55.8265766,37.45232439999999,55.818146,37.435894,13.342663492138627,1.3934226998784656,341.089
538200.0,13,60.5,Хорошево,32561100.0,24,55.764812,37.510018,55.7750796,37.4770716,7.080422513475669,2.3627699745448303,355.424
350640.0,7,54.7,Кунцевская,19180000.0,16,55.715456,37.4351429,55.730632,37.446045,12.425523816938542,1.8232460335775964,9.23
247483.0,7,59.6,Боровское шоссе,14750000.0,14,55.649752,37.36952,55.6466493,37.366404,19.588844253814425,0.39725931114160284,18.106
582633.0,5,32.6,Лужники,18993850.0,41,55.7321368,37.5387203,55.720935,37.560056,5.694991269763314,1.8310078302740271,11.667
266742.0,8,88.1,Говорово,23500000.0,26,55.6555173,37.3950203,55.66073799999999,37.417567,17.920049192241713,1.5335646404372612,18.966
284912.0,4,62.3,Хорошево,17750000.0,12,55.76519,37.4848178,55.7750796,37.4770716,8.64833708958164,1.2036404902594973,356.143
398453.0,3,105.17,Автозаводская,41905333.0,29,55.7137916,37.6591514,55.707632,37.657674,5.0372508924114765,0.6920478897560021,140.403
269615.0,14,70.1,Студенческая,18900000.0,25,55.7335041,37.5391654,55.7388,37.548388,5.6070966550147405,0.8266168199168239,11.0
899204.0,13,110.4,Смоленская,99272107.0,13,55.7533802,37.5806993,55.74726099999999,37.581945,2.532513333307177,0.6857709895240199,0.242
257480.0,2,76.2,Кунцевская,19620000.0,20,55.7257835,37.4303472,55.730632,37.446045,12.370919256782097,1.1243547239627805,6.59
291609.0,16,72.7,Говорово,21200000.0,25,55.6624667,37.4230577,55.66073799999999,37.417567,16.05673251789141,0.3955501553403259,20.028
621200.0,4,133.5,Мичуринский проспект,82930200.0,12,55.71359690000001,37.5042515,55.689425,37.483,8.582071068124817,3.0046457052266455,15.178
335536.0,10,76.0,Алексеевская,25500700.0,15,55.808014,37.6362688,55.8077942,37.6387375,6.133867121054836,0.1567147108344568,250.545
455800.0,13,83.2,Улица Сергея Эйзенштейна,37922560.0,38,55.835072,37.6382769,55.8312806,37.643042,9.135760449514338,0.5170570226993141,255.062
1150000.0,4,60.4,Тверская,69460000.0,5,55.768487,37.603408,55.765195,37.60584,1.9932482533353615,0.39704133698645666,326.206
1200000.0,5,66.6,Тверская,79920000.0,5,55.768487,37.603408,55.765195,37.60584,1.9932482533353615,0.39704133698645666,326.206
612676.0,8,71.0,Славянский бульвар,43500000.0,25,55.7138716,37.4749307,55.7304105,37.4724634,10.188178269557586,1.8479034943007566,12.153
443700.0,39,69.7,Шелепиха,30925890.0,41,55.7610475,37.5130354,55.7566971,37.525776,6.830886968820943,0.9350874884081639,356.871
426750.0,46,252.0,Калужская,107541000.0,47,55.6563759,37.5229967,55.65712500000001,37.540487,12.455677000523005,1.104075005048852,38.138
369991.0,4,75.4,Калужская,27897342.0,47,55.6563759,37.5229967,55.65712500000001,37.540487,12.455677000523005,1.104075005048852,38.138
